"company_id","period","field_path","purpose","source_id","published_at","source_title","source_url","local_path","evidence_tier","verification_status"
"MSFT","FY2026-Q3","event.event_type","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","event.report_date","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","event.information_cutoff","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","raw_financials.revenue","pre_decision","MSFT_SEC_FACTS","2026-04-29","SEC Companyfacts - Microsoft","https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json","02_sector_db/company_db/raw/sec/MSFT_companyfacts.json","primary","verified"
"MSFT","FY2026-Q3","raw_financials.cogs","pre_decision","MSFT_SEC_FACTS","2026-04-29","SEC Companyfacts - Microsoft","https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json","02_sector_db/company_db/raw/sec/MSFT_companyfacts.json","primary","verified"
"MSFT","FY2026-Q3","raw_financials.opex","pre_decision","MSFT_SEC_FACTS","2026-04-29","SEC Companyfacts - Microsoft","https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json","02_sector_db/company_db/raw/sec/MSFT_companyfacts.json","primary","verified"
"MSFT","FY2026-Q3","raw_financials.operating_income","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","raw_financials.net_income","pre_decision","MSFT_SEC_FACTS","2026-04-29","SEC Companyfacts - Microsoft","https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json","02_sector_db/company_db/raw/sec/MSFT_companyfacts.json","primary","verified"
"MSFT","FY2026-Q3","raw_financials.eps_diluted","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","raw_financials.shares_diluted","pre_decision","MSFT_SEC_FACTS","2026-04-29","SEC Companyfacts - Microsoft","https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json","02_sector_db/company_db/raw/sec/MSFT_companyfacts.json","primary","verified"
"MSFT","FY2026-Q3","segment_breakdown","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","transcript_excerpt","pre_decision","MSFT_IR_Q3_TRANSCRIPT","2026-04-29","Microsoft FY2026 Q3 earnings call transcript","https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_earnings_call.html","primary","verified"
"MSFT","FY2026-Q3","presentation_text","pre_decision","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","surprise_metrics","pre_decision","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026","02_sector_db/company_db/processed/MSFT_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"MSFT","FY2026-Q3","peer_multiples","pre_decision","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf","02_sector_db/company_db/raw/research/MSFT/msft_henry_fund_2026-04-22.pdf","secondary_dated","verified"
"MSFT","FY2026-Q3","current_price","pre_decision","MSFT_YAHOO_PRE","2026-04-28","MSFT event-window close","https://query1.finance.yahoo.com/v8/finance/chart/MSFT","02_sector_db/company_db/raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json","market_data","verified"
"MSFT","FY2026-Q3","valuation_reference.target","pre_decision","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026","02_sector_db/company_db/processed/MSFT_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"MSFT","FY2026-Q3","valuation_reference.n_analysts","pre_decision","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026","02_sector_db/company_db/processed/MSFT_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"MSFT","FY2026-Q3","model_output.new_target","pre_decision","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf","02_sector_db/company_db/raw/research/MSFT/msft_henry_fund_2026-04-22.pdf","secondary_dated","verified"
"MSFT","FY2026-Q3","forecast_history","evaluation","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast","02_sector_db/company_db/raw/ir/MSFT/msft_fy26q3_press_release_webcast.html","primary","verified"
"MSFT","FY2026-Q3","price_pre_event","pre_decision","MSFT_YAHOO_PRE","2026-04-28","MSFT event-window close","https://query1.finance.yahoo.com/v8/finance/chart/MSFT","02_sector_db/company_db/raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json","market_data","verified"
